age,male,female,lnmale,lnfemale
50,0.005038,0.003182,-5.290746101,-5.750245349
51,0.00552,0.003473,-5.199377419,-5.662736505
52,0.006036,0.003767,-5.110013738,-5.58147635
53,0.006587,0.004058,-5.022657269,-5.507065038
54,0.00717,0.004352,-4.937849624,-5.437119769
55,0.007801,0.004681,-4.853503348,-5.364243517
56,0.008466,0.00504,-4.771697137,-5.290349197
57,0.009133,0.0054,-4.695861051,-5.221356325
58,0.009792,0.005756,-4.626189553,-5.15751249
59,0.010462,0.006128,-4.560005634,-5.094886847
60,0.011197,0.006545,-4.492109394,-5.02905388
61,0.012009,0.007034,-4.42209891,-4.956999745
62,0.012867,0.007607,-4.353089385,-4.878686403
63,0.013772,0.008281,-4.285117734,-4.793791545
64,0.014749,0.009057,-4.216579995,-4.70421734
65,0.015852,0.009953,-4.144459604,-4.609881266
66,0.017097,0.01095,-4.068852269,-4.514415823
67,0.018463,0.01201,-3.99198655,-4.422015643
68,0.019959,0.013124,-3.91407511,-4.333312664
69,0.021616,0.01433,-3.834321498,-4.245400037
70,0.023528,0.015728,-3.749564078,-4.152312716
71,0.025693,0.017338,-3.661536698,-4.054854655
72,0.028041,0.019108,-3.574087554,-3.957648183
73,0.030567,0.021041,-3.487834283,-3.861282364
74,0.033347,0.023191,-3.400787466,-3.763991007
75,0.036572,0.025713,-3.308472359,-3.660758578
76,0.040276,0.028609,-3.211999521,-3.554033925
77,0.044348,0.03176,-3.115687667,-3.449547643
78,0.048797,0.035157,-3.020086443,-3.347931534
79,0.053739,0.03892,-2.923616284,-3.246247022
80,0.059403,0.043289,-2.823410549,-3.139856718
81,0.065873,0.048356,-2.720026633,-3.02916497
82,0.073082,0.054041,-2.616173181,-2.918012261
83,0.08107,0.060384,-2.5124423,-2.80703111
84,0.089947,0.067498,-2.408534671,-2.695657311
85,0.099842,0.075516,-2.304166343,-2.583410725
86,0.110863,0.084556,-2.199460074,-2.470341242
